VKEY;REAL;PZN;UER;RGN;IND;TNP;NNP;ADR;RKC;NAMEP;NAMEN;NEWNUM;NEWKS;PERMFO;SROK;AT1;AT2;TELEF;REGN;OKPO;DT_IZM;CKS;KSNP;DATE_IN;DATE_CH;VKEYDEL;DT_IZMR
;;20;4;45;127051;1;МОСКВА;Большой Каретный переулок, д.;044525000;"ООО ""БАНК СТАНДАРТ-КРЕДИТ""";"ООО ""БАНК СТАНДАРТ-КРЕДИТ""";044525450;;;00;;;;841;;19.04.2019;;30101810245250000450;;;;
;;20;4;05;690068;1;ВЛАДИВОСТОК;пр-т 100лет Влади-ка, 155 - 1Б;040507001;"АО ""РОЯЛ КРЕДИТ БАНК""";"АО ""РОЯЛ КРЕДИТ БАНК""";040507750;;;00;;;;783;;30.06.2018;;30101810105070000750;;;;
;;30;4;75;454048;1;ЧЕЛЯБИНСК;ул Доватора, 29;047501001;"ФИЛИАЛ ""ЧЕЛЯБИНСКИЙ"" АО ""БАНК ДОМ.РФ""";"ФИЛИАЛ ""ЧЕЛЯБИНСКИЙ"" АО ""БАНК";047501616;;;00;;;;2312/16;;30.06.2018;;30101810375010000616;;;;
;;30;4;50;632383;1;КУЙБЫШЕВ;"квартал 1, дом 29 ""вставка""";045004001;"КУЙБЫШЕВСКИЙ ФИЛИАЛ АКБ ""ЛАНТА-БАНК"" (АО)";"КУЙБЫШЕВСКИЙ ФИЛИАЛ АКБ ""ЛАНТА";045004711;;;00;;;;1920/2;;20.09.2018;;30101810750045004711;;;;
;;20;4;36;443010;1;САМАРА;ул. Фрунзе/Некрасовская, д. 10;043601001;"АО КБ ""НИБ""";"АО КБ ""НИБ""";043601842;;;00;;;;2876;;30.06.2018;;30101810522023601842;;;;
;;30;4;40;191186;1;САНКТ-ПЕТЕРБУРГ;ул Миллионная, 38А лит Б;044030001;"СТ-ПЕТЕРБУРГСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";"СТ-ПЕТЕРБУРГСКИЙ Ф-Л ПАО ""ПРОМ";044030920;;;00;;;;3251/6;;30.06.2018;;30101810000000000920;;;;
;;12;0;01;656031;1;БАРНАУЛ;ул Крупской, 91 А;;ОТДЕЛЕНИЕ БАРНАУЛ;ОТДЕЛЕНИЕ БАРНАУЛ;040173001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;01;656038;1;БАРНАУЛ;Комсомольский пр-т, 106 А;040173001;АЛТАЙСКОЕ ОТДЕЛЕНИЕ N8644 ПАО СБЕРБАНК;АЛТАЙСКОЕ ОТДЕЛЕНИЕ N8644 ПАО;040173604;;;00;;;;1481/16;;30.06.2018;;30101810200000000604;;;;
;;20;4;92;423831;1;НАБЕРЕЖНЫЕ ЧЕЛНЫ;пр-т Хасана Туфана, д. 43;049205001;"АО ""АВТОГРАДБАНК""";"АО ""АВТОГРАДБАНК""";049205878;;;00;;;;1455;;14.07.2019;;30101810622029205878;;;;
;;30;4;05;690091;1;ВЛАДИВОСТОК;Краснознаменный пер., д. 5В;040507001;"ФИЛИАЛ ""ВЛАДИВОСТОКСКИЙ"" АО ""БАНК ДОМ.РФ""";"ФИЛИАЛ ""ВЛАДИВОСТОКСКИЙ"" АО ""Б";040507761;;;00;;;;2312/20;;04.06.2019;;30101810505070000761;;;;
;;20;4;01;656049;1;БАРНАУЛ;пр-т Ленина, 61 А;040173001;"""СИБСОЦБАНК"" ООО";"""СИБСОЦБАНК"" ООО";040173745;;;00;;;;2015;;30.06.2018;;30101810800000000745;;;;
