VKEY;REAL;PZN;UER;RGN;IND;TNP;NNP;ADR;RKC;NAMEP;NAMEN;NEWNUM;NEWKS;PERMFO;SROK;AT1;AT2;TELEF;REGN;OKPO;DT_IZM;CKS;KSNP;DATE_IN;DATE_CH;VKEYDEL;DT_IZMR
;;30;4;60;344011;1;РОСТОВ-НА-ДОНУ;ул Катаева, 293;046015001;"ФИЛИАЛ ""СДМ-БАНК"" (ПАО) В Г. РОСТОВ-НА-ДОНУ";"ФИЛИАЛ ""СДМ-БАНК"" (ПАО) В Г. Р";046015088;;;00;;;;1637/9;;30.06.2018;;30101810860150000088;;;;
;;40;0;28;171090;2;ОЗЁРНЫЙ;;;ПУ БАНКА РОССИИ ЗАВОДСКОЕ;ПУ БАНКА РОССИИ ЗАВОДСКОЕ;042880002;;;00;;;;;;30.06.2018;;;;;;
;;30;4;50;630102;1;НОВОСИБИРСК;ул. Нижегородская, 4;045004001;"НОВОСИБИРСКИЙ ФИЛИАЛ ПАО ""МТС-БАНК""";"НОВОСИБИРСКИЙ ФИЛИАЛ ПАО ""МТС-";045004876;;;00;;;;2268/21;;30.06.2018;;30101810050040000876;;;;
;;12;0;29;248001;1;КАЛУГА;ул Ленина, 76;;ОТДЕЛЕНИЕ КАЛУГА;ОТДЕЛЕНИЕ КАЛУГА;042908001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;29;248001;1;КАЛУГА;ул Кирова, 21 А;042908001;КАЛУЖСКОЕ ОТДЕЛЕНИЕ N8608 ПАО СБЕРБАНК;КАЛУЖСКОЕ ОТДЕЛЕНИЕ N8608 ПАО;042908612;;;00;;;;1481/488;;30.06.2018;;30101810100000000612;;;;
;;20;4;29;248001;1;КАЛУГА;ул Суворова, 147;042908001;"ООО КБ ""КАЛУГА""";"ООО КБ ""КАЛУГА""";042908748;;;00;;;;1151;;30.06.2018;;30101810100000000748;;;;
;;20;4;29;248000;1;КАЛУГА;ул Московская, 6;042908001;"ООО БАНК ""ЭЛИТА""";"ООО БАНК ""ЭЛИТА""";042908762;;;00;;;;1399;;30.06.2018;;30101810500000000762;;;;
;;52;0;47;183010;1;МУРМАНСК;пр-т Кирова, 14/2;;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;044780100;;;00;;;;;;30.06.2018;;;;;;
;;40;0;29;249720;1;КОЗЕЛЬСК 5;;;ПУ БАНКА РОССИИ ГАГАРИНСКОЕ;ПУ БАНКА РОССИИ ГАГАРИНСКОЕ;042980002;;;00;;;;;;30.06.2018;;;;;;
;;12;0;30;683031;1;ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ;Пр-т Карла Маркса, дом 29/2;;ОТДЕЛЕНИЕ ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ;ОТДЕЛЕНИЕ ПЕТРОПАВЛОВСК-КАМЧАТ;043002001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;60;344002;1;РОСТОВ-НА-ДОНУ;ул Максима Горького, 123/67;046015001;"ФИЛИАЛ ""РОСТОВ-НА-ДОНУ"" КБ ""ЛОКО-БАНК"" (АО)";"ФИЛИАЛ ""РОСТОВ-НА-ДОНУ"" КБ ""ЛО";046015074;;;00;;;;2707/2;;30.06.2018;;30101810560150000074;;;;
;;20;4;30;683032;1;ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ;ул Артиллерийская, 5/1;043002001;"""МУНИЦИПАЛЬНЫЙ КАМЧАТПРОФИТБАНК"" (АО)";"""МУНИЦИПАЛЬНЫЙ КАМЧАТПРОФИТБАН";043002717;;;00;;;;2103;;30.06.2018;;30101810100000000717;;;;
;;30;4;19;160000;1;ВОЛОГДА;ул Зосимовская, 40;041909001;"ФИЛИАЛ ""ВОЛОГОДСКИЙ"" ПАО ""СКБ-БАНК""";"ФИЛИАЛ ""ВОЛОГОДСКИЙ"" ПАО ""СКБ-";041909781;;;00;;;;705/41;;30.06.2018;;30101810300000000781;;;;
;;30;4;40;191119;1;САНКТ-ПЕТЕРБУРГ;Лиговский пр-т, 94-2 лит А пом;044030001;"ФИЛИАЛ ООО КБ ""РОСТФИНАНС"" В САНКТ-ПЕТЕРБУРГЕ";"ФИЛИАЛ ООО КБ ""РОСТФИНАНС"" В С";044030733;;;00;;;;481/3;;30.06.2018;;30101810340300000733;;;;
;;20;4;45;125212;1;МОСКВА;Ленинградское ш, 39 А, стр 1;044525000;"""БМВ БАНК"" ООО";"""БМВ БАНК"" ООО";044525770;;;00;;;;3482;;30.06.2018;;30101810145250000770;;;;
;;30;4;52;644024;1;ОМСК;Газетный пер, 6-1;045209001;"ОМСКИЙ ФИЛИАЛ ПАО ""ПЛЮС БАНК""";"ОМСКИЙ ФИЛИАЛ ПАО ""ПЛЮС БАНК""";045209884;;;00;;;;1189/5;;30.06.2018;;30101810152090000884;;;;
;;52;0;47;183010;1;МУРМАНСК;пр-т Кирова, 14/2;;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;044781102;;;00;;;;;;30.06.2018;;;;;;
;;30;4;73;432017;1;УЛЬЯНОВСК;ул. Александра Матросова, д 33;047308001;"Ф-Л УЛЬЯНОВСКИЙ № 2 ПАО БАНК ""ФК ОТКРЫТИЕ""";"Ф-Л УЛЬЯНОВСКИЙ № 2 ПАО БАНК """;047308988;;;00;;;;2209/59;;01.11.2018;;30101810122027300988;;;;
;;10;0;30;684300;3;МИЛЬКОВО;ул Ленинская, 33;;РКЦ МИЛЬКОВО;РКЦ МИЛЬКОВО;043015000;;;00;;;;;;30.06.2018;;;;;;
;;40;0;30;684090;1;ВИЛЮЧИНСК;мкр-н Центральный д. 5;;ПУ БАНКА РОССИИ АВАЧИНСКОЕ;ПУ БАНКА РОССИИ АВАЧИНСКОЕ;043081002;;;00;;;;;;30.06.2018;;;;;;
;;40;0;30;683013;1;ПЕТРОПАВЛОВСК-КАМЧАТ 13;ул Пономарёва, 33 А;;ПУ БАНКА РОССИИ ЯКОРНОЕ;ПУ БАНКА РОССИИ ЯКОРНОЕ;043083002;;;00;;;;;;30.06.2018;;;;;;
;;30;4;60;344006;1;РОСТОВ-НА-ДОНУ;ул. Большая Садовая,д.124а;046015001;"ДОНСКОЙ ФИЛИАЛ АО КБ ""СИТИБАНК""";"ДОНСКОЙ ФИЛИАЛ АО КБ ""СИТИБАНК";046015068;;;00;;;;2557/3;;30.06.2018;;30101810660150000068;;;;
;;30;4;45;123100;1;МОСКВА;Краснопресненская набережная,;044525000;"МОСКОВСКИЙ ФИЛИАЛ ПАО ""СОВКОМБАНК""";"МОСКОВСКИЙ ФИЛИАЛ ПАО ""СОВКОМБ";044525967;;;00;;;;963/1;;30.06.2018;;30101810945250000967;;;;
;;30;4;40;196084;1;САНКТ-ПЕТЕРБУРГ;наб. Обводного канала, д. 90,;044030001;"Ф-Л СПБ № 2 ПАО БАНК ""ФК ОТКРЫТИЕ""";"Ф-Л СПБ № 2 ПАО БАНК ""ФК ОТКРЫ";044030800;;;00;;;;2209/56;;08.11.2018;;30101810040300000800;;;;
;;12;0;32;650000;1;КЕМЕРОВО;ул Кирова, 12;;ОТДЕЛЕНИЕ КЕМЕРОВО;ОТДЕЛЕНИЕ КЕМЕРОВО;043207001;;;00;;;;;;30.06.2018;;;;;;
;;90;4;45;109240;1;МОСКВА;улица Высоцкого, дом 4;043207001;"КУ АО ""КЕМСОЦИНБАНК"" - ГК ""АСВ""";"КУ АО ""КЕМСОЦИНБАНК"" - ГК ""АСВ";043207720;;;00;;;;96;;30.06.2018;;30101810600000000720;;;;
;;20;4;32;650070;1;КЕМЕРОВО;Молодёжный пр-т, 5;043207001;"ООО КБ ""ТАЙДОН""";"ООО КБ ""ТАЙДОН""";043207780;;;00;;;;2085;;30.06.2018;;30101810200000000780;;;;
;;20;4;32;650040;1;КЕМЕРОВО;ул Юрия Двужильного, 12;043207001;"АКБ ""КУЗБАССХИМБАНК"" (ПАО)";"АКБ ""КУЗБАССХИМБАНК"" (ПАО)";043207793;;;00;;;;2868;;30.06.2018;;30101810200000000793;;;;
;;10;0;32;654005;1;НОВОКУЗНЕЦК;ул Орджоникидзе, 8;;РКЦ НОВОКУЗНЕЦК;РКЦ НОВОКУЗНЕЦК;043209000;;;00;;;;;;30.06.2018;;;;;;
;;20;4;32;654041;1;НОВОКУЗНЕЦК;ул Кутузова, 31;043209000;"""БСТ-БАНК"" АО";"""БСТ-БАНК"" АО";043209706;;;00;;;;2883;;30.06.2018;;30101810000000000706;;;;
;;20;4;32;654080;1;НОВОКУЗНЕЦК;ул. Кирова, 89б;043209000;"АО ""КУЗНЕЦКБИЗНЕСБАНК""";"АО ""КУЗНЕЦКБИЗНЕСБАНК""";043209740;;;00;;;;1158;;30.06.2018;;30101810600000000740;;;;
;;20;4;32;654080;1;НОВОКУЗНЕЦК;ул Кирова, 69;043209000;"ООО ""НОВОКИБ""";"ООО ""НОВОКИБ""";043209770;;;00;;;;1747;;30.06.2018;;30101810900000000770;;;;
;;20;4;45;127055;1;МОСКВА;ул Сущёвская, 27, стр 1;044525000;БАНК СОЮЗ (АО);БАНК СОЮЗ (АО);044525148;;;00;;;;2307;;30.06.2018;;30101810845250000148;;;;
;;52;0;47;183010;1;МУРМАНСК;пр-т Кирова, 14/2;;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;044782100;;;00;;;;;;30.06.2018;;;;;;
;;12;0;33;610000;1;КИРОВ;ул Спасская, 27;;ОТДЕЛЕНИЕ КИРОВ;ОТДЕЛЕНИЕ КИРОВ;043304001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;33;610000;1;КИРОВ;ул Дерендяева, 25;043304001;КИРОВСКОЕ ОТДЕЛЕНИЕ N8612 ПАО СБЕРБАНК;КИРОВСКОЕ ОТДЕЛЕНИЕ N8612 ПАО;043304609;;;00;;;;1481/558;;30.06.2018;;30101810500000000609;;;;
;;20;4;33;610002;1;КИРОВ;ул Урицкого, 40;043304001;"АО КБ ""ХЛЫНОВ""";"АО КБ ""ХЛЫНОВ""";043304711;;;00;;;;254;;30.06.2018;;30101810100000000711;;;;
;;20;4;33;610000;1;КИРОВ;ул Преображенская, 4;043304001;"ПАО ""НОРВИК БАНК""";"ПАО ""НОРВИК БАНК""";043304728;;;00;;;;902;;30.06.2018;;30101810300000000728;;;;
;;30;4;52;644047;1;ОМСК;ул 5-я Северная, 197-1;045209001;"ОМСКИЙ ФИЛИАЛ НКО ""ФИНЧЕР"" (ООО)";"ОМСКИЙ ФИЛИАЛ НКО ""ФИНЧЕР"" (ОО";045209863;;;00;;;;3486-К/2;;30.06.2018;;30103810200000000863;;;;
;;30;4;65;620014;1;ЕКАТЕРИНБУРГ;пр-т Ленина, 27;046577001;ФИЛИАЛ № 6602 БАНКА ВТБ (ПАО);ФИЛИАЛ № 6602 БАНКА ВТБ (ПАО);046577501;;;00;;;;1000/92;;30.06.2018;;30101810165770000501;;;;
;;40;0;33;613648;4;ПЕРВОМАЙСКИЙ;;;ПУ БАНКА РОССИИ ПРИГОРОДНОЕ;ПУ БАНКА РОССИИ ПРИГОРОДНОЕ;043380002;;;00;;;;;;30.06.2018;;;;;;
;;20;4;45;107996;1;МОСКВА;ул Маши Порываевой, 11;044525000;МБЭС;МБЭС;044525123;;;00;;;;7388;;30.06.2018;;30101810145250000123;;;;
;;30;4;60;344019;1;РОСТОВ-НА-ДОНУ;пр. Шолохова, 32/65;046015001;"Ф-Л РОСТОВСКИЙ №2 ПАО БАНК ""ФК ОТКРЫТИЕ""";"Ф-Л РОСТОВСКИЙ №2 ПАО БАНК ""ФК";046015084;;;00;;;;2209/61;;12.11.2018;;30101810660150000084;;;;
;;12;0;35;295011;1;СИМФЕРОПОЛЬ;ул Сергеева-Ценского, 12/4;;ОТДЕЛЕНИЕ РЕСПУБЛИКА КРЫМ;ОТДЕЛЕНИЕ РЕСПУБЛИКА КРЫМ;043510001;;;00;;;;;;30.06.2018;;;;;;
;;52;0;47;183010;1;МУРМАНСК;пр-т Кирова, 14/2;;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;044785102;;;00;;;;;;30.06.2018;;;;;;
;;52;0;47;183010;1;МУРМАНСК;пр-т Кирова, 14/2;;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;УФК ПО МУРМАНСКОЙ ОБЛАСТИ;044784101;;;00;;;;;;30.06.2018;;;;;;
;;52;0;50;630011;1;НОВОСИБИРСК;ул Кирова, 3/1;;УФК ПО НОВОСИБИРСКОЙ ОБЛАСТИ;УФК ПО НОВОСИБИРСКОЙ ОБЛАСТИ;045081100;;;00;;;;;;30.06.2018;;;;;;
;;12;0;34;156961;1;КОСТРОМА;ул Князева, 5/2;;ОТДЕЛЕНИЕ КОСТРОМА;ОТДЕЛЕНИЕ КОСТРОМА;043469001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;34;156005;1;КОСТРОМА;ул Никитская, 33;043469001;КОСТРОМСКОЕ ОТДЕЛЕНИЕ N 8640 ПАО СБЕРБАНК;КОСТРОМСКОЕ ОТДЕЛЕНИЕ N 8640 П;043469623;;;00;;;;1481/623;;30.06.2018;;30101810200000000623;;;;
;;90;3;45;109240;1;МОСКВА;ул Высоцкого, 4;043469001;"КУ ООО КБ ""КОНФИДЭНС БАНК"" - ГК ""АСВ""";"КУ ООО КБ ""КОНФИДЭНС БАНК"" - Г";043469710;;;00;;;;970;;30.06.2018;;30101810100000000710;;;;
;;52;0;50;630011;1;НОВОСИБИРСК;ул Кирова, 3/1;;УФК ПО НОВОСИБИРСКОЙ ОБЛАСТИ;УФК ПО НОВОСИБИРСКОЙ ОБЛАСТИ;045080101;;;00;;;;;;30.06.2018;;;;;;
;;90;4;45;109240;1;МОСКВА;ул Высоцкого, 4;043469001;"КУ ООО КБ ""АКСОНБАНК"" - ГК ""АСВ""";"КУ ООО КБ ""АКСОНБАНК"" - ГК ""АС";043469714;;;00;;;;680;;30.06.2018;;30101810300000000714;;;;
;;20;4;34;156013;1;КОСТРОМА;ул Калиновская, 36;043469001;"ООО ""КОСТРОМАСЕЛЬКОМБАНК""";"ООО ""КОСТРОМАСЕЛЬКОМБАНК""";043469720;;;00;;;;1115;;30.06.2018;;30101810200000000720;;;;
;;30;4;45;121170;1;МОСКВА;пл Победы, 2-2;044525000;"МОСКОВСКИЙ ФИЛИАЛ АО ""БАНК АКЦЕПТ""";"МОСКОВСКИЙ ФИЛИАЛ АО ""БАНК АКЦ";044525757;;;00;;;;567/2;;30.06.2018;;30101810045250000757;;;;
;;52;0;58;180000;1;ПСКОВ;ул Гоголя, 55/78;;УФК ПО ПСКОВСКОЙ ОБЛАСТИ;УФК ПО ПСКОВСКОЙ ОБЛАСТИ;045801101;;;00;;;;;;30.06.2018;;;;;;
;;20;4;34;156000;1;КОСТРОМА;пр-т Текстильщиков, 46;043469001;"ПАО ""СОВКОМБАНК""";"ПАО ""СОВКОМБАНК""";043469743;;;00;;;;963;;30.06.2018;;30101810300000000743;;;;
;;12;0;36;443010;1;САМАРА;Волжский пр-т, 3;;ОТДЕЛЕНИЕ САМАРА;ОТДЕЛЕНИЕ САМАРА;043601001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;36;443011;1;САМАРА;ул Ново-Садовая, 305;043601001;ПОВОЛЖСКИЙ БАНК ПАО СБЕРБАНК;ПОВОЛЖСКИЙ БАНК ПАО СБЕРБАНК;043601607;;;00;;;;1481/1258;;30.06.2018;;30101810200000000607;;;;
;;20;4;36;443099;1;САМАРА;ул Куйбышева, 90;043601001;"АО КБ ""СОЛИДАРНОСТЬ""";"АО КБ ""СОЛИДАРНОСТЬ""";043601706;;;00;;;;554;;30.06.2018;;30101810800000000706;;;;
;;52;0;65;620142;1;ЕКАТЕРИНБУРГ;ул Фурманова, 34;;УФК ПО СВЕРДЛОВСКОЙ ОБЛАСТИ;УФК ПО СВЕРДЛОВСКОЙ ОБЛАСТИ;046579100;;;00;;;;;;30.06.2018;;;;;;
;;52;0;67;295015;1;СИМФЕРОПОЛЬ;ул Севастопольская, 19;;УФК ПО РЕСПУБЛИКЕ КРЫМ;УФК ПО РЕСПУБЛИКЕ КРЫМ;046709101;;;00;;;;;;30.06.2018;;;;;;
;;20;4;45;115201;1;МОСКВА;ул. Котляковская, д. 8.;044525000;"НКО ""ИНКАХРАН"" (АО)";"НКО ""ИНКАХРАН"" (АО)";044525934;;;00;;;;3454-К;;30.06.2018;;30103810345250000934;;;;
;;52;0;60;344019;1;РОСТОВ-НА-ДОНУ;пл Свободы, 7/2;;УФК ПО РОСТОВСКОЙ ОБЛАСТИ;УФК ПО РОСТОВСКОЙ ОБЛАСТИ;046080101;;;00;;;;;;30.06.2018;;;;;;
;;52;0;80;450076;1;УФА;ул Гоголя, 62;;УФК ПО РЕСПУБЛИКЕ БАШКОРТОСТАН;УФК ПО РЕСПУБЛИКЕ БАШКОРТОСТАН;048080100;;;00;;;;;;30.06.2018;;;;;;
;;52;0;81;670000;1;УЛАН-УДЭ;ул Ермаковская, 12;;УФК ПО РЕСПУБЛИКЕ БУРЯТИЯ;УФК ПО РЕСПУБЛИКЕ БУРЯТИЯ;048140100;;;00;;;;;;30.06.2018;;;;;;
;;52;0;67;299011;1;СЕВАСТОПОЛЬ;ул Балаклавская, 9;;УФК ПО Г. СЕВАСТОПОЛЮ;УФК ПО Г. СЕВАСТОПОЛЮ;046709102;;;00;;;;;;30.06.2018;;;;;;
;;52;0;75;454080;1;ЧЕЛЯБИНСК;ул Тернопольская, 4;;УФК ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ;УФК ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ;047582100;;;00;;;;;;30.06.2018;;;;;;
;;20;4;35;295001;1;СИМФЕРОПОЛЬ;ул Большевистская, 24;043510001;"АО ""БАНК ЧБРР""";"АО ""БАНК ЧБРР""";043510101;;;00;;;;3527;;30.06.2018;;30101810035100000101;;;;
;;52;0;76;672002;1;ЧИТА;ул Профсоюзная, 17;;УФК ПО ЗАБАЙКАЛЬСКОМУ КРАЮ;УФК ПО ЗАБАЙКАЛЬСКОМУ КРАЮ;047681100;;;00;;;;;;30.06.2018;;;;;;
;;20;4;65;620142;1;ЕКАТЕРИНБУРГ;ул Чапаева, 3 А;046577001;"БАНК ""НЕЙВА"" ООО";"БАНК ""НЕЙВА"" ООО";046577774;;;00;;;;1293;;30.06.2018;;30101810400000000774;;;;
;;52;0;82;367015;1;МАХАЧКАЛА;ул Магомеда Ярагского, 93;;УФК ПО РЕСПУБЛИКЕ ДАГЕСТАН;УФК ПО РЕСПУБЛИКЕ ДАГЕСТАН;048270101;;;00;;;;;;30.06.2018;;;;;;
;;52;0;88;424000;1;ЙОШКАР-ОЛА;ул Вознесенская, 85;;УФК ПО РЕСПУБЛИКЕ МАРИЙ ЭЛ;УФК ПО РЕСПУБЛИКЕ МАРИЙ ЭЛ;048880100;;;00;;;;;;30.06.2018;;;;;;
;;10;0;36;445037;1;ТОЛЬЯТТИ;ул Юбилейная, 31;;РКЦ ТОЛЬЯТТИ;РКЦ ТОЛЬЯТТИ;043678000;;;00;;;;;;30.06.2018;;;;;;
;;12;0;67;299001;1;СЕВАСТОПОЛЬ;ул Михаила Дзигунского, 1/3;;ОТДЕЛЕНИЕ СЕВАСТОПОЛЬ;ОТДЕЛЕНИЕ СЕВАСТОПОЛЬ;046711001;;;00;;;;;;30.06.2018;;;;;;
;;20;4;36;445009;1;ТОЛЬЯТТИ;ул Горького, 96;043678000;"АО ""ТОЛЬЯТТИХИМБАНК""";"АО ""ТОЛЬЯТТИХИМБАНК""";043678838;;;00;;;;2507;;30.06.2018;;30101810000000000838;;;;
;;20;4;45;119002;1;МОСКВА;ул. Арбат, д. 10;044525000;"ООО НКО ""ПЭЙЮ""";"ООО НКО ""ПЭЙЮ""";044525077;;;00;;;;3518-К;;30.06.2018;;30103810545250000077;;;;
;;40;0;36;443539;2;РОЩИНСКИЙ;ул Факел Социализма, 21;;ПУ БАНКА РОССИИ ВЛАДИМИРСКОЕ;ПУ БАНКА РОССИИ ВЛАДИМИРСКОЕ;043683002;;;00;;;;;;30.06.2018;;;;;;
;;30;4;05;690002;1;ВЛАДИВОСТОК;пр-кт Океанский, д.123 б;040507001;"Ф-Л ВЛАДИВОСТОКСКИЙ №2 ПАО БАНК ""ФК ОТКРЫТИЕ""";Ф-Л ВЛАДИВОСТОКСКИЙ №2 ПАО БАН;040507830;;;00;;;;2209/57;;19.11.2018;;30101810805070000830;;;;
;;12;0;37;640002;1;КУРГАН;ул Климова, 58;;ОТДЕЛЕНИЕ КУРГАН;ОТДЕЛЕНИЕ КУРГАН;043735001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;37;640022;1;КУРГАН;ул Гоголя, 98;043735001;КУРГАНСКОЕ ОТДЕЛЕНИЕ N8599 ПАО СБЕРБАНК;КУРГАНСКОЕ ОТДЕЛЕНИЕ N8599 ПАО;043735650;;;00;;;;1481/717;;30.06.2018;;30101810100000000650;;;;
;;20;4;37;640000;1;КУРГАН;ул Гоголя, 78;043735001;"БАНК ""КУРГАН"" ПАО";"БАНК ""КУРГАН"" ПАО";043735830;;;00;;;;2568;;30.06.2018;;30101810700000000830;;;;
;;52;0;90;362008;1;ВЛАДИКАВКАЗ;ул Коцоева, 24;;УФК ПО РЕСПУБЛИКЕ СЕВЕРНАЯ ОСЕТИЯ -АЛАНИЯ;УФК ПО РЕСПУБЛИКЕ СЕВЕРНАЯ ОСЕ;049082100;;;00;;;;;;30.06.2018;;;;;;
;;52;0;96;364020;1;ГРОЗНЫЙ;ул Дэги Имрановича Багаева, 15;;УФК ПО ЧЕЧЕНСКОЙ РЕСПУБЛИКЕ;УФК ПО ЧЕЧЕНСКОЙ РЕСПУБЛИКЕ;049626100;;;00;;;;;;30.06.2018;;;;;;
;;30;4;45;121069;1;МОСКВА;ул Садовая-Кудрин, 2/62, стр 4;044525000;"МОСКОВСКИЙ ФИЛИАЛ ""БАНК СГБ""";"МОСКОВСКИЙ ФИЛИАЛ ""БАНК СГБ""";044525094;;;00;;;;2816/19;;30.06.2018;;30101810245250000094;;;;
;;20;4;52;644033;1;ОМСК;ул В.М.Шукшина, 9;045209001;"НКО ""ПЕРСПЕКТИВА"" (ООО)";"НКО ""ПЕРСПЕКТИВА"" (ООО)";045209885;;;00;;;;3532-К;;30.06.2018;;30103810052090000885;;;;
;;20;4;37;640002;1;КУРГАН;ул Коли Мяготина, 124 А;043735001;"ООО КБ ""КЕТОВСКИЙ""";"ООО КБ ""КЕТОВСКИЙ""";043735821;;;00;;;;842;;30.06.2018;;30101810900000000821;;;;
;;12;0;38;305000;1;КУРСК;ул Горького, 31/8;;ОТДЕЛЕНИЕ КУРСК;ОТДЕЛЕНИЕ КУРСК;043807001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;38;305004;1;КУРСК;ул Ленина, 67;043807001;КУРСКОЕ ОТДЕЛЕНИЕ N8596 ПАО СБЕРБАНК;КУРСКОЕ ОТДЕЛЕНИЕ N8596 ПАО СБ;043807606;;;00;;;;1481/739;;30.06.2018;;30101810300000000606;;;;
;;20;4;38;305000;1;КУРСК;ул Ленина, 13;043807001;"ПАО ""КУРСКПРОМБАНК""";"ПАО ""КУРСКПРОМБАНК""";043807708;;;00;;;;735;;30.06.2018;;30101810800000000708;;;;
;;30;4;45;127051;1;МОСКВА;ул. Петровка, д. 24, стр. 1;044525000;"Ф-Л МОСКОВСКИЙ №2 ПАО БАНК ""ФК ОТКРЫТИЕ""";"Ф-Л МОСКОВСКИЙ №2 ПАО БАНК ""ФК";044525175;;;00;;;;2209/54;;22.11.2018;;30101810245250000175;;;;
;;30;4;45;129090;1;МОСКВА;1-й Коптельский пер, 18, стр 1;044525000;"ФИЛИАЛ ПАО ""АКИБАНК"" В Г.МОСКВА";"ФИЛИАЛ ПАО ""АКИБАНК"" В Г.МОСКВ";044525531;;;00;;;;2587/4;;30.06.2018;;30101810245250000531;;;;
;;30;4;45;127051;1;МОСКВА;ул. Петровка, д. 24, стр. 1;044525000;"Ф-Л МСК (ДИДЖИТАЛ) ПАО БАНК ""ФК ОТКРЫТИЕ""";"Ф-Л МСК (ДИДЖИТАЛ) ПАО БАНК ""Ф";044525980;;;00;;;;2209/55;;22.11.2018;;30101810045250000980;;;;
;;00;0;40;191038;1;САНКТ-ПЕТЕРБУРГ;наб р.Фонтанки, 68, 70, 72, 74;;СЕВЕРО-ЗАПАДНОЕ ГУ БАНКА РОССИИ;СЕВЕРО-ЗАПАДНОЕ ГУ БАНКА РОССИ;044030001;;;00;;;;;;30.06.2018;;;;;;
;;30;4;65;620075;1;ЕКАТЕРИНБУРГ;ул.Горького, д.45;046577001;"Ф-Л ЕКБ №2 ПАО БАНК ""ФК ОТКРЫТИЕ""";"Ф-Л ЕКБ №2 ПАО БАНК ""ФК ОТКРЫТ";046577520;;;00;;;;2209/60;;27.11.2018;;30101810065770000520;;;;
;;30;4;40;191124;1;САНКТ-ПЕТЕРБУРГ;ул Красного Текстильщика, 2;044030001;СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК;СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБ;044030653;;;00;;;;1481/1309;;30.06.2018;;30101810500000000653;;;;
;;20;4;40;191187;1;САНКТ-ПЕТЕРБУРГ;ул Шпалерная, 2/4 лит А;044030001;"АО ""СИТИ ИНВЕСТ БАНК""";"АО ""СИТИ ИНВЕСТ БАНК""";044030702;;;00;;;;3194;;30.06.2018;;30101810600000000702;;;;
;;20;4;40;197101;1;САНКТ-ПЕТЕРБУРГ;ул Дивенская, 1 лит А;044030001;"ПАО ""БАЛТИНВЕСТБАНК""";"ПАО ""БАЛТИНВЕСТБАНК""";044030705;;;00;;;;3176;;30.06.2018;;30101810500000000705;;;;
;;30;4;40;191023;1;САНКТ-ПЕТЕРБУРГ;ул Инженерная, 9;044030001;"ФИЛИАЛ ПАО ""БАНК УРАЛСИБ"" В Г.САНКТ-ПЕТЕРБУРГ";"ФИЛИАЛ ПАО ""БАНК УРАЛСИБ"" В Г.";044030706;;;00;;;;2275/1;;30.06.2018;;30101810800000000706;;;;
;;20;4;40;195112;1;САНКТ-ПЕТЕРБУРГ;Малоохтинский пр-т, 64 лит А;044030001;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";044030790;;;00;;;;436;;30.06.2018;;30101810900000000790;;;;
;;20;4;40;197110;1;САНКТ-ПЕТЕРБУРГ;ул Петрозаводская, 11 лит А;044030001;"ПАО ""ЭНЕРГОМАШБАНК""";"ПАО ""ЭНЕРГОМАШБАНК""";044030754;;;00;;;;52;;30.06.2018;;30101810700000000754;;;;
;;20;4;40;191119;1;САНКТ-ПЕТЕРБУРГ;Загородный пр-т, 46 к. 2 лит.;044030001;"ПАО БАНК ""АЛЕКСАНДРОВСКИЙ""";"ПАО БАНК ""АЛЕКСАНДРОВСКИЙ""";044030755;;;00;;;;53;;30.06.2018;;30101810000000000755;;;;
;;20;4;40;195220;1;САНКТ-ПЕТЕРБУРГ;пр-т. Непокоренных, 17-4 лит В;044030001;"ПАО ""ВИТАБАНК""";"ПАО ""ВИТАБАНК""";044030758;;;00;;;;356;;30.06.2018;;30101810900000000758;;;;
